# MWR cash flows (bonus_as=income)
# Pega en Sheets/Excel y aplica =XIRR(B:B, A:A) — debe coincidir con el MWR all-time.
# 152 flujos + 1 valor final = 153 filas.

date	amount	kind	title
2026-01-16	-75.00	BUY	Core S&P 500 USD (Acc)
2026-01-16	-75.00	BUY	MSCI World Small Cap USD (Acc)
2026-02-02	-25.00	BUY	MSCI India USD (Acc)
2026-02-02	-25.00	BUY	Solana
2026-02-02	-25.00	BUY	Physical Gold USD (Acc)
2026-02-02	-50.00	BUY	Core MSCI Europe EUR (Acc)
2026-02-02	-100.00	BUY	Core MSCI EM IMI USD (Acc)
2026-02-02	-75.00	BUY	Core S&P 500 USD (Acc)
2026-02-02	-75.00	BUY	MSCI World Small Cap USD (Acc)
2026-02-16	-25.00	BUY	Solana
2026-02-16	-25.00	BUY	MSCI India USD (Acc)
2026-02-16	-25.00	BUY	Physical Gold USD (Acc)
2026-02-16	-50.00	BUY	Core MSCI Europe EUR (Acc)
2026-02-16	-100.00	BUY	Core MSCI EM IMI USD (Acc)
2026-02-16	-75.00	BUY	Core S&P 500 USD (Acc)
2026-02-16	-75.00	BUY	MSCI World Small Cap USD (Acc)
2026-03-02	-25.00	BUY	Solana
2026-03-02	-25.00	BUY	MSCI India USD (Acc)
2026-03-02	-25.00	BUY	Physical Gold USD (Acc)
2026-03-02	-50.00	BUY	Core MSCI Europe EUR (Acc)
2026-03-02	-100.00	BUY	Core MSCI EM IMI USD (Acc)
2026-03-02	-75.00	BUY	Core S&P 500 USD (Acc)
2026-03-02	-75.00	BUY	MSCI World Small Cap USD (Acc)
2026-03-16	-25.00	BUY	Solana
2026-03-16	-25.00	BUY	MSCI India USD (Acc)
2026-03-16	-25.00	BUY	Physical Gold USD (Acc)
2026-03-16	-50.00	BUY	Core MSCI Europe EUR (Acc)
2026-03-16	-100.00	BUY	Core MSCI EM IMI USD (Acc)
2026-03-16	-75.00	BUY	Core S&P 500 USD (Acc)
2026-03-16	-75.00	BUY	MSCI World Small Cap USD (Acc)
2026-04-02	-25.00	BUY	Solana
2026-04-02	-25.00	BUY	MSCI India USD (Acc)
2026-04-02	-25.00	BUY	Physical Gold USD (Acc)
2026-04-02	-50.00	BUY	Core MSCI Europe EUR (Acc)
2026-04-02	-100.00	BUY	Core MSCI EM IMI USD (Acc)
2026-04-02	-75.00	BUY	Core S&P 500 USD (Acc)
2026-04-02	-75.00	BUY	MSCI World Small Cap USD (Acc)
2026-04-16	-25.00	BUY	Solana
2026-04-16	-25.00	BUY	MSCI India USD (Acc)
2026-04-16	-25.00	BUY	Physical Gold USD (Acc)
2026-04-16	-50.00	BUY	Core MSCI Europe EUR (Acc)
2026-04-16	-75.00	BUY	MSCI World Small Cap USD (Acc)
2026-04-16	-100.00	BUY	Core MSCI EM IMI USD (Acc)
2026-04-16	-75.00	BUY	Core S&P 500 USD (Acc)
2026-04-24	168.22	SELL	Physical Gold USD (Acc)
2026-04-24	-81.00	BUY	Core MSCI EM IMI USD (Acc)
2026-04-24	-81.00	BUY	MSCI World Small Cap USD (Acc)
2026-04-26	9423.28	FINAL	Posiciones actuales
